wikipedia	id_geonames	lat	lon	name_modern	name_historical	country	country_ISO3	region
https://de.wikipedia.org/wiki/Most_(Tschechien)	3070291	50.5030	13.6362	Most	Brüx	Czech Republic	CZE	
https://de.wikipedia.org/wiki/Prun%C3%A9%C5%99ov	3067382	50.4007	13.2780	Prunéřov (Kadaň)	Brunnersdorf	Czech Republic	CZE	
https://de.wikipedia.org/wiki/Bochov	3079174	50.1487	13.0523	Bochov	Buchau	Czech Republic	CZE	
https://de.wikipedia.org/wiki/Budweis	3077916	48.9745	14.4743	České Budějovice	Budweis	Czech Republic	CZE	
https://de.wikipedia.org/wiki/D%C4%9B%C4%8D%C3%ADn	3078325	50.7833	14.1500	Bynov (Děčín)	Bünauburg bei Bodenbach	Czech Republic	CZE	
https://de.wikipedia.org/wiki/Sloup_v_%C4%8Cech%C3%A1ch	3065779	50.7401	14.5915	Sloup v Čechách	Bürgstein	Czech Republic	CZE	
https://de.wikipedia.org/wiki/Chy%C5%A1e	3077455	50.1046	13.2491	Chyše	Chiesch	Czech Republic	CZE	
https://de.wikipedia.org/wiki/Chodov	3077706	50.2400	12.7455	Chodov	Chodau	Czech Republic	CZE	
https://de.wikipedia.org/wiki/Choce%C5%88	3077725	50.0016	16.2230	Choceň	Chotzen	Czech Republic	CZE	
https://de.wikipedia.org/wiki/K%C5%99i%C5%A1%C5%A5anov	3072712	48.9091	14.0200	Křišťanov	Christianberg	Czech Republic	CZE	
https://de.wikipedia.org/wiki/Kry%C5%A1tofovo_%C3%9Adol%C3%AD	3072580	50.7745	14.9334	Kryštofovo Údolí	Christofsgrund	Czech Republic	CZE	
https://de.wikipedia.org/wiki/Dalovice	3077291	50.2478	12.8958	Dalovice	Dallwitz	Czech Republic	CZE	
https://de.wikipedia.org/wiki/Dub%C3%A1	3076363	50.5403	14.5402	Dubá	Dauba	Czech Republic	CZE	
https://de.wikipedia.org/wiki/Jablonn%C3%A9_v_Podje%C5%A1t%C4%9Bd%C3%AD	3074597	50.7653	14.7605	Jablonné v Podještědí	Deutsch-Gabel	Czech Republic	CZE	
https://de.wikipedia.org/wiki/Dob%C5%99any	3077073	49.6548	13.2931	Dobřany	Dobrzan	Czech Republic	CZE	
https://de.wikipedia.org/wiki/Stanovice_u_Karlov%C3%BDch_Var	3065431	50.1651	12.8740	Stanovice u Karlových Var	Donawitz	Czech Republic	CZE	
https://de.wikipedia.org/wiki/Don%C3%ADn_(Hr%C3%A1dek_nad_Nisou)	3076570	50.8433	14.8560	Donín (Hrádek nad Nisou)	Dönis	Czech Republic	CZE	
https://de.wikipedia.org/wiki/Dolany_u_Klatov	3076961	49.4433	13.2481	Dolany u Klatov	Dolan	Czech Republic	CZE	
https://de.wikipedia.org/wiki/T%C5%99i_Sekery	3063999	49.9422	12.6166	Tři Sekery	Dreihacken	Czech Republic	CZE	
https://de.wikipedia.org/wiki/Stvol%C3%ADnky	3064770	50.6323	14.4286	Stvolínky	Drum	Czech Republic	CZE	
https://de.wikipedia.org/wiki/Doupov	3076518	50.2593	13.1414	Doupov	Duppau	Czech Republic	CZE	
https://de.wikipedia.org/wiki/Duchcov	3076311	50.6030	13.7462	Duchcov	Dux	Czech Republic	CZE	
https://de.wikipedia.org/wiki/Cheb	3077835	50.0796	12.3739	Cheb	Eger	Czech Republic	CZE	
https://de.wikipedia.org/wiki/Ivan%C4%8Dice	3074615	49.1014	16.3775	Ivančice	Eibenschütz	Czech Republic	CZE	
https://de.wikipedia.org/wiki/Dub%C3%AD	3076346	50.6856	13.7856	Dubí	Eichwald	Czech Republic	CZE	
https://de.wikipedia.org/wiki/%C5%BDelezn%C3%A1_Ruda	3061567	49.1374	13.2352	Železná Ruda	Eisenstein	Czech Republic	CZE	
https://de.wikipedia.org/wiki/Loket	3071627	50.1860	12.7541	Loket	Elbogen	Czech Republic	CZE	
https://de.wikipedia.org/wiki/Zlat%C3%A9_Hory	3068963	50.2575	17.3488	Ondřejovice (Zlaté Hory)	Endersdorf	Czech Republic	CZE	
