id_geonames	lat	lon	region	name_modern	name_historical
2774391	48.2942	13.2820	austria		Kirchdorf am Inn
2774401	48.0389	13.11519	austria		Kirchberg bei Mattighofen
2774437	47.5000	15.4500	austria		Kindberg
2774443	48.1010	15.4085	austria		Kilb
2774449	48.3100	16.2762	austria	Kierling (Klosterneuburg)	Kierling
2774548	48.1115	14.1939	austria		Kematen an der Krems
2774773	47.4446	15.2933	austria		Kapfenberg
2774832	47.9471	13.5954	austria	Schörfling am Attersee	Kammer am Attersee
2774851	48.1165	16.1996	austria		Kaltenleutgeben
2774904	48.1375	16.2460	austria	Kalksburg (Wien)	Kalksburg
2775020	47.1667	14.6667	austria		Judenburg
2775197	47.5053	14.1016	austria		Irdning
2775220	47.2627	11.3945	austria		Innsbruck
2775338	47.2333	11.4167	austria		Igls/Innsbruck
2775516	48.6627	15.6566	austria		Horn
2775541	47.4498	12.1566	austria		Hopfgarten
2775620	48.3789	15.6907	austria		Hollenburg
2775636	48.5500	16.0833	austria	Hollabrunn	Oberhollabrunn
2776358	48.0861	16.2481	austria		Hinterbrühl
2776401	48.0833	16.4333	austria		Himberg
2776433	47.6064	14.7450	austria		Hieflau
2776470	48.2814	15.6943	austria		Herzogenburg
2776488	48.2283	16.3000	austria	Dornbach (Wien)	Dornbach
2776603	48.8667	15.1167	austria		Heidenreichstein
2776721	48.5757	14.0398	austria		Haslach
2776801	47.2833	15.9667	austria		Hartberg
2776872	48.8500	15.8500	austria		Hardegg
2776943	47.5623	13.6491	austria		Hallstatt
2776951	47.6833	13.1000	austria		Hallein
2776981	48.0339	15.7741	austria		Hainfeld
2776988	48.1463	16.9450	austria		Hainburg an der Donau
2777109	48.2000	16.2500	austria	Hacking (Wien)	Hacking/Wien
2777154	48.1842	13.6437	austria		Haag am Hausruck
2777164	48.1136	14.5675	austria		Haag (Niederösterreich)
2777196	47.8760	15.8888	austria		Gutenstein
2777279	48.0454	16.2771	austria		Gumpoldskirchen
2777701	48.5742	14.9579	austria	Groß Gerungs	Groß-Gerungs
2777836	48.2028	16.5508	austria		Groß-Enzersdorf
2777927	47.4427	13.9012	austria		Gröbming
2777972	48.2333	13.8333	austria		Grieskirchen
2778039	48.2286	14.8588	austria		Grein
2778067	47.0667	15.4500	austria		Graz
2778079	47.1167	15.3167	austria		Gratwein
2778131	48.0193	16.4949	austria	Gramatneusiedl, Ortsteil Marienthal	Marienthal
2778133	48.3803	14.1919	austria		Gramastetten
2778427	46.8731	15.8253	austria		Gnas
2778436	47.9184	13.7993	austria		Gmunden
2778439	48.7683	14.9808	austria		Gmünd
2778455	47.6749	15.9389	austria		Gloggnitz
2778478	47.1056	15.7101	austria		Gleisdorf
2778573	48.0978	16.2348	austria		Gießhübl
2778845	48.5977	15.6607	austria	Gars am Kamp	Gars
2778949	47.9290	15.0882	austria		Gaming
2779029	47.9628	16.1937	austria		Gainfarn
2779074	48.0536	16.2000	austria		Gaaden
2779138	48.1963	16.3274	austria	Braunhirschen (Wien)	Braunhirschen
2779202	47.2667	15.3167	austria		Frohnleiten
2779229	46.9553	14.4058	austria		Friesach
2779243	47.4333	16.0500	austria		Friedberg/Stmk
2779275	48.5110	14.5045	austria		Freistadt
2779378	47.9833	13.4167	austria		Frankenmarkt
2779450	47.2080	14.6759	austria		Fohnsdorf
2779663	47.8816	16.2421	austria		Felixdorf
2779669	46.7237	14.0958	austria		Feldkirchen
2779674	47.2331	9.6000	austria		Feldkirch
2779685	46.9531	15.8883	austria		Feldbach
2779767	46.9400	16.0081	austria		Fehring
2779947	48.5333	16.3500	austria		Ernstbrunn
2779973	47.7272	16.2144	austria		Bad Erlach
2779982	47.6833	12.1833	austria		Erl/Tirol
2780017	48.0850	16.6083	austria		Enzersdorf an der Fischa
2780048	48.2135	14.4761	austria		Enns
2780190	47.8457	16.5233	austria		Eisenstadt
2780207	47.5333	14.8833	austria		Eisenerz
2780283	46.6867	15.2472	austria		Eibiswald
2780316	46.7242	15.5867	austria		Ehrenhausen
2780360	48.6389	15.8190	austria		Eggenburg
2780394	48.3087	14.0223	austria		Eferding
2780547	47.8072	13.7790	austria		Ebensee
2780553	47.8774	16.3673	austria		Ebenfurth
